微信支付账单明细,,,,,,,,,,
微信昵称：[卓先生。],？？？,,,,,,,,,
起始时间：[2021-09-01 00:00:00] 终止时间：[2021-09-30 23:59:59],,,,,,,,,,
导出类型：[全部],,,,,,,,,,
导出时间：[2021-10-13 21:05:49],,,,,,,,,,
,,,,,,,,,,
共笔记录,,,,,,,,,,
收入：,,,,,,,,,,
支出：,,,,,,,,,,
中性交易：,,,,,,,,,,
注：,,,,,,,,,,
1. 充值/提现/理财通购买/零钱通存取/信用卡还款等交易，将计入中性交易,,,,,,,,,,
2. 本明细仅展示当前账单中的交易，不包括已删除的记录,,,,,,,,,,
3. 本明细仅供个人对账使用,,,,,,,,,,
,,,,,,,,,,
----------------------微信支付账单明细列表--------------------,,,,,,,,,,
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2021/10/1 15:56,扫二维码付款,孟,,支出,￥100.00,零钱,已转账,,,/
2021/10/1 1:13,商户消费,充,,支出,￥48.01,零钱,支付成功,,,/
2021/9/26 15:00,商户消费,新,,支出,￥30.00,零钱,支付成功,,,/
